IID	Sex	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10
HG01935	1	-0.0139997	-0.00268326	0.0445321	0.0663501	-0.00829414	-0.000945623	-0.00883949	-0.0035526	-0.000866669	0.000330259
HG01939	2	-0.0137664	-0.00408605	0.0463951	0.0710516	-0.00557589	0.00066038	-0.0107252	-0.00138654	0.0038712	0.00424117
HG01942	2	-0.0144539	-0.00691512	0.048634	0.0782114	-0.00401986	-0.00110753	-0.00766391	-0.00227647	-0.00179422	0.00147743
HG01945	2	-0.0142196	-0.00469422	0.046143	0.0709761	-0.00356473	-0.000405971	-0.00986475	-0.00167737	-0.0048831	0.00308087
HG01947	1	-0.0125307	0.000390676	0.0371598	0.0512887	-0.00293287	-0.000592187	0.00291346	0.00243584	0.00147569	-0.000576318
HG01950	1	-0.0122849	-0.00907302	0.0485648	0.0778194	-0.00561811	-0.000652068	-0.00962923	-0.00283106	0.00338572	-0.00131189
HG01953	1	-0.0146293	-0.0091762	0.0514806	0.0836054	-0.00590904	0.00085014	-0.0132699	-0.00257	0.00246149	0.00328545
HG01961	1	-0.0157364	-0.0128042	0.0566943	0.09546	-0.00624902	0.000323545	-0.0178894	-0.00448388	-0.00731819	0.00407686
HG01967	1	-0.0133193	0.000873846	0.0401692	0.0550281	-0.00650399	0.00147204	-0.00210856	-0.000173438	-0.0043212	2.74749e-05
HG01977	1	-0.0144125	-0.00480125	0.0478657	0.0726306	-0.005715	-0.000207455	-0.00568689	0.000407242	-0.00430248	0.00133188
HG01982	1	-0.0143693	-0.00495318	0.0459724	0.0706111	-0.00504777	0.00103629	-0.0079112	-0.00245353	-0.00236634	0.00596858
HG01988	1	0.0149887	0.0101512	0.00460654	-0.00779686	0.00214573	6.49173e-06	-0.00633755	0.00988821	0.000462941	0.00881567
HG01990	1	0.031485	-0.00188316	0.00101974	-0.0025073	-0.000103091	-0.00219627	-0.00533702	0.0195681	0.000910844	0.0106205
HG02003	2	-0.0142513	-0.00656777	0.0489596	0.0757723	-0.0087176	0.00030548	-0.00893381	-0.00299465	-0.0003042	0.00557352
HG02012	2	0.0318096	-0.00178083	0.00109163	-0.00163375	0.0023166	0.00171616	-0.00771992	0.0208717	-0.000921342	0.00650424
HG02014	1	0.0290452	-0.00017953	0.000982575	-0.00223827	0.000645248	-0.000313131	-0.00382789	0.0162405	0.00136514	0.0117485
HG02016	2	-0.0148758	-0.0294413	-0.00145665	-0.0116729	-0.0426841	-0.00116439	-0.00862667	-0.00338886	0.0052714	-0.00202151
HG02017	1	-0.0149266	-0.0324185	0.00166011	-0.0156714	-0.0398975	-0.000823602	-0.00689238	-0.00192767	0.00254835	-0.00244731
HG02067	1	-0.0150277	-0.0326506	0.00177275	-0.0166381	-0.0403419	-0.000950618	-0.00683967	-0.0026451	0.00248744	-0.00143721
HG02069	2	-0.0147788	-0.0327417	0.00148383	-0.0149834	-0.0376969	-0.000588157	-0.00865165	-0.00082972	-0.00200719	-0.000994947
HG02081	2	-0.0153289	-0.0331937	0.00215321	-0.0153443	-0.0417634	-0.000996911	-0.00719792	-0.000853511	0.00525707	-0.000528311
HG02082	1	-0.0150751	-0.0335622	0.00322291	-0.0153745	-0.0212859	0.00102069	-0.00227354	0.000727169	-0.00529644	0.00148139
HG02089	2	-0.0133238	-0.000210405	0.0403599	0.0568232	-0.00457072	-0.00133896	-0.0047449	-7.30995e-05	-0.00524448	-0.00184089
HG02095	2	0.0321809	-0.00242283	0.000721301	-0.00146644	0.00124139	0.0025889	-0.00973887	0.0234656	0.00854654	0.011708
HG02105	2	-0.0154962	-0.0110594	0.0528782	0.0884211	-0.0071394	-0.00111018	-0.0161774	-0.00379866	-0.0028065	0.00126612
HG02133	2	-0.0148945	-0.0330399	0.00132574	-0.0158435	-0.0436416	-0.000685224	-0.0100779	-0.00244606	-0.000847494	-0.0014133
HG02138	1	-0.0149904	-0.0328067	0.00173821	-0.015638	-0.0410484	-0.00186197	-0.00870046	-0.000513012	-0.00198958	0.00291879
HG02139	2	-0.0151543	-0.0329795	0.00258247	-0.0155167	-0.0402627	-0.00137887	-0.00793653	-0.000902193	0.000408733	-0.00133758
HG02143	1	0.0267036	0.00126913	0.00130753	-0.00256522	0.000230649	0.00304438	-0.00892323	0.0153558	-0.00222862	0.0159294
HG02144	2	0.0322653	-0.00202003	0.00073994	-0.000861426	-9.6075e-05	-0.000370784	-0.00792685	0.0191259	0.000473303	0.00978099
HG02146	1	-0.014934	-0.00858646	0.0520077	0.0832197	-0.00452099	9.97411e-05	-0.0138642	-0.00226539	-0.00564865	0.00334795
HG02153	2	-0.0151524	-0.0333882	0.00145734	-0.0158069	-0.0469055	-0.000960192	-0.0093115	-0.00145439	0.00413376	-0.00226307
HG02155	2	-0.015203	-0.0341816	0.00350456	-0.0171578	-0.0473428	-0.000653908	-0.00931242	0.000371872	0.00124429	-0.00290318
HG02156	2	-0.0150678	-0.0337156	0.00183802	-0.0171838	-0.0510796	-0.00258827	-0.00945865	-0.00291079	0.00294119	3.89025e-05
HG02180	2	-0.0153376	-0.0346188	0.0020778	-0.0175152	-0.0479654	-0.00019996	-0.00699813	-0.000841174	-0.00199266	-0.000865685
HG02184	2	-0.0152464	-0.0336887	0.00318666	-0.017471	-0.0503528	-0.00196746	-0.0078622	-0.000133101	0.00549138	0.00173382
HG02223	2	-0.0103665	0.0271333	0.0106957	-0.0204753	-0.00289363	0.000220983	0.0195047	0.0071417	0.00346423	0.00144058
HG02238	1	-0.00996216	0.0270619	0.0107915	-0.0200992	-0.00595216	0.00103715	0.0251027	0.00381523	0.00453241	-0.00351439
HG02250	1	-0.0151377	-0.0331781	0.00283425	-0.0161065	-0.0497524	-0.00156769	-0.00838355	-0.00280221	0.00410526	0.00170075
HG02253	1	-0.0129458	0.00436247	0.0357936	0.0455772	-0.00584095	0.000323755	0.0018361	-0.000852398	0.000869212	0.00181627
HG02265	1	-0.0153961	-0.0102379	0.0536858	0.0899481	-0.0064926	2.2541e-05	-0.0168328	-0.00190422	-0.00251035	0.00152832
HG02266	2	-0.0151446	-0.0110712	0.0524691	0.0857692	-0.00217215	-0.00068163	-0.0109142	-0.00259551	-0.00169958	0.00254854
HG02271	1	-0.0152565	-0.0123212	0.0556027	0.0942818	-0.0058274	-0.00114794	-0.0170272	-0.00307379	-0.00362812	0.00532084
HG02274	1	-0.00209262	-0.00515405	0.0352518	0.0555389	-0.00475438	0.00232444	-0.0113538	0.00425767	-0.00321995	0.00511888
HG02275	2	-0.0155144	-0.0114459	0.0547146	0.0919682	-0.00946256	-0.000178916	-0.0156647	-0.00587504	-0.00422603	0.00303879
HG02284	1	0.0277681	0.000879084	0.00124456	-0.00365971	0.00190182	0.00265989	-0.00448693	0.0127989	0.00472248	0.00498208
HG02285	1	-0.0139574	-0.0051199	0.04625	0.0719358	-0.00639131	0.0009298	-0.0103304	-0.00275243	-0.00360756	-0.00138108
HG02291	1	-0.0154514	-0.0122311	0.0551035	0.0932015	-0.00539879	0.000152332	-0.0155229	-0.00415308	-0.00391724	0.00552468
HG02307	1	0.0322627	-0.00249198	-2.56624e-05	-0.000619941	0.000793569	-0.00207111	-0.00608408	0.0163072	-0.000202518	0.00734778
HG02364	1	-0.0146984	-0.0342866	0.00301537	-0.0168272	-0.0534369	-0.00191688	-0.0100802	-0.00173835	0.00244736	-0.000313872
HG02367	1	-0.0151399	-0.0336877	0.00231856	-0.0163037	-0.0516337	-0.00134335	-0.00892087	-0.00166544	0.00373278	-0.00339098
HG02382	1	-0.015069	-0.0338336	0.00248512	-0.0176205	-0.0493095	-0.000656354	-0.00684151	-0.000742055	0.00304499	-0.00209966
HG02390	1	-0.0151679	-0.0335737	0.00252549	-0.0165808	-0.051477	-0.00165863	-0.00765341	-0.00195785	0.0043713	0.00106311
HG02420	1	0.0158395	0.00913578	0.00448682	-0.00911775	0.000624323	0.00135508	-0.00432396	0.0104643	-0.00391396	0.00619326
HG02445	1	0.0274396	0.00121828	0.00183516	-0.00274238	-0.000691611	-8.37794e-05	-0.00543445	0.0158674	0.00302464	0.00894072
HG02477	2	0.0290675	0.000197956	0.00196236	-0.00245724	0.000874974	0.00319481	-0.00750104	0.0190893	0.00521623	0.012832
HG02496	1	0.0314127	-0.00180292	0.00108415	-0.00169904	-0.00122155	0.00260383	-0.00737083	0.0239614	0.00618354	0.0143747
HG02521	1	-0.0151631	-0.0328026	0.0020418	-0.0146965	-0.0384655	-0.00231681	-0.00541922	0.000370117	-0.00397221	-0.000541456
HG02522	2	-0.0149266	-0.0329852	0.00136156	-0.0154973	-0.0407704	-0.00164951	-0.00669415	-0.00158682	0.00360745	-0.0034132
HG02558	2	0.0306797	-0.00119695	0.00156366	-0.00143821	-0.000830602	0.00176126	-0.00599954	0.0196829	-0.00362948	0.00584263
HG02573	1	0.0337922	-0.00297663	-8.49374e-05	-0.000392503	0.000633024	-0.0575776	0.0133339	-0.033331	-0.00203476	-0.0416643
HG02577	2	0.0256832	0.00267355	0.00286335	-0.00461577	0.00146629	0.00330432	-0.0102947	0.0148468	-0.00079558	0.0123384
HG02580	2	0.0285865	0.000192498	0.00188304	-0.00313483	0.00182714	0.00352063	-0.00444498	0.0196453	-0.00221368	0.00295393
HG02600	1	-0.0112132	0.0074892	-0.0316488	0.0136534	0.00152681	-0.00032618	-0.00220309	-0.000226231	0.00470278	0.00163384
HG02634	1	0.0339045	-0.00277903	0.000496682	-0.00059182	0.000144745	-0.0523397	0.0135538	-0.0273928	0.00303053	-0.0278952
HG02635	2	0.0342019	-0.00335094	0.000147279	3.01858e-05	0.00176451	-0.0414688	0.0111494	-0.0247574	0.00254012	-0.0120526
HG02657	1	-0.0108679	0.00892503	-0.0293223	0.0112852	0.00143291	-0.000665596	0.00288393	0.00205952	-0.00155233	-0.0042138
HG02679	2	0.0344557	-0.00360385	-0.000138485	-0.000334027	0.00411609	-0.055752	0.0109146	-0.0341219	-0.00291761	-0.0382028
HG02681	1	-0.0109971	0.0125347	-0.0243594	0.00843925	-0.000219461	0.000780201	-0.00258019	-0.00061165	0.00505777	0.00128623
HG02684	1	-0.0107727	0.00714182	-0.0342031	0.0144992	0.00107083	-0.00170883	0.000882929	1.1611e-05	0.0373355	0.00126257
HG02685	2	-0.0109483	0.00695414	-0.0351188	0.0157728	-0.00043572	-0.00114015	-0.00151254	0.000675086	0.0412169	-0.0018809
HG02687	1	-0.0108335	0.00588571	-0.0372815	0.0170185	0.00043705	-0.000999618	-0.00147524	-0.00204323	0.0520893	0.00257715
HG02703	2	0.0345542	-0.00355362	-0.000360232	-0.000544717	0.00214169	-0.0638597	0.0149799	-0.0423144	-0.0104038	-0.0529249
HG02724	1	-0.0110581	0.00499252	-0.0358394	0.0167276	-0.000382184	-0.0013254	-0.00491009	-0.000745273	0.0483692	0.000110303
HG02737	2	-0.0109555	0.0123307	-0.0247201	0.00844544	0.00207813	-0.000879257	-0.00326151	0.000493487	0.00132905	0.004747
HG02768	1	0.0345599	-0.00384578	-0.000391787	-0.000238894	0.000103528	-0.0580541	0.0116774	-0.0373152	0.000397501	-0.024637
HG02793	2	-0.0110754	0.00520136	-0.0374892	0.0160155	0.00115042	-0.00159662	-0.00386891	-0.00184556	0.0553744	0.00114764
HG02805	2	0.0347103	-0.00390947	-0.000556007	-0.000623652	-0.00178212	-0.0643292	0.01324	-0.0431003	0.000695572	-0.0274563
HG02922	2	0.0357386	-0.00422445	-0.000277776	0.000534696	0.00140424	0.0155924	-0.0145559	0.0484725	-0.00228914	-0.0283626
HG02938	1	0.0355167	-0.00390872	-3.52927e-05	0.000655663	-9.3047e-05	0.0168648	-0.0128514	0.0462695	0.00246435	-0.0233791
