IID	Sex	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10
HG01342	2	0.0375761	-0.166416	0.0916831	0.0253041	0.0159532	0.00680059	0.0153625	0.142685	0.0702261	-0.110476
HG01344	1	-0.000608337	0.0295356	0.0314393	0.00452856	0.0503903	0.0157892	0.0033664	0.0590013	-0.0182346	0.0208635
HG01345	2	0.0330999	0.0413208	0.0614336	0.0403876	-0.0188329	-0.00929973	0.0442859	-0.0215872	0.00163041	0.00674655
HG01348	2	0.00550519	0.0363385	0.0742321	0.0160456	0.0198288	-0.02774	0.0852001	0.0467108	0.00975395	0.0691369
HG01350	1	0.00576926	0.0144729	0.0754342	0.0209496	0.081177	0.0288609	0.0736939	0.0886806	-0.0769015	0.0334492
HG01351	2	0.0216042	0.0700306	0.0642299	0.063489	0.110461	0.0108158	0.0128297	0.0102542	0.0643361	-0.0660174
HG01353	1	0.0387536	0.069165	0.0485967	0.0321747	-0.0679535	-0.00733859	-0.0125292	0.0113883	-0.041346	-0.00854616
HG01354	2	0.0446577	0.0861311	0.0608952	0.0429786	-0.0501277	-0.0544162	-0.0791675	-0.0176509	0.0864899	-0.0631843
HG01356	1	0.0181033	0.0376421	0.0768978	0.038656	0.0555487	0.0139321	-0.0247172	0.0425139	-0.0545255	0.0491807
HG01357	2	0.0213449	0.0706002	0.0615487	0.0541632	0.0970108	0.0153369	0.0114365	0.0170318	-0.00471929	0.0239384
HG01359	1	0.0272608	0.0505204	0.0537708	0.0334043	0.00479049	0.00305406	-0.00520219	0.0520068	-0.0309743	0.0836269
HG01360	2	0.0318709	0.0371114	0.0469688	0.0276575	0.022409	-0.0573964	-0.00330847	0.0162028	0.0481588	-0.0304685
HG01362	1	0.0315543	0.00025311	0.0558333	0.0156054	-0.0262051	0.0109559	0.0844294	0.00121087	-0.089141	0.0229489
HG01363	2	0.0188719	-0.0415611	0.098895	0.0341204	0.0433539	-0.0747082	-0.0238019	0.0305817	-0.0104952	0.226278
HG01365	1	0.0241911	-0.0287228	0.0243594	0.0156502	-0.0410558	0.00745385	0.00255003	0.0450483	0.0231368	-0.0579145
HG01366	2	0.0296728	0.00769601	0.0664244	0.0371817	-0.0283841	-0.0320518	0.019231	-0.0543083	0.0454675	-0.0252696
HG01369	2	-0.0168237	-0.0336164	0.100903	0.0054204	0.0519127	0.0510848	0.106924	-0.086642	-0.0831918	-0.00507232
HG01372	2	0.0160417	0.0494703	0.0738026	0.0464708	0.0592875	0.0394268	0.0591309	-0.0406545	0.0133606	0.0654185
HG01374	1	0.0268281	0.0718054	0.0739727	0.0528537	0.111047	0.0623322	-0.0919031	0.00777829	-0.0175495	-0.0223842
HG01375	2	0.0189671	-0.0158388	0.0641889	0.024794	-0.0118216	-0.0528305	0.0675456	-0.0285238	-0.108172	0.011168
HG01377	1	0.0203877	0.014624	0.0625057	0.0220699	0.0458866	0.00475268	-0.0674648	0.0621595	-0.10559	0.017389
HG01378	2	0.00467743	0.0336848	0.075822	0.0342074	0.114616	-0.0193628	0.123441	0.0277633	0.0881355	0.0975706
HG01383	1	0.0294041	0.0683526	0.0771062	0.0562482	0.123506	0.0889462	-0.188418	0.064314	-0.00655184	-0.0402207
HG01384	2	0.0321285	0.0475803	0.0728029	0.0404823	-0.01306	-0.0158647	0.0309785	-0.11157	0.00363645	0.0240652
HG01389	1	0.0490255	0.0612862	0.0472268	0.0450297	-0.0987549	-0.0192038	-0.0017052	0.0608082	-0.0506614	-0.112074
HG01390	2	0.0240214	-0.119984	0.0735503	0.00426256	-0.0101513	0.107673	0.0187469	-0.023116	-0.203948	-0.145221
HG01392	1	0.043083	-0.0464441	-0.0399813	-0.0129754	-0.0187846	0.0863442	0.0596831	-0.156403	-0.0445933	-0.0574395
HG01393	2	0.0516755	-0.0640841	-0.0258163	-0.00434823	-0.0571906	0.0988982	0.0496598	-0.0516129	0.136361	0.00696373
