IID	Sex	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10
HG03727	1	0.014014	0.0131048	-0.0166465	-0.0149819	0.00725787	-0.0109288	-0.00614847	0.0260087	0.0566696	-0.0485781
HG03729	1	0.0184142	0.0022621	-0.0267535	-0.0134183	0.0149816	-0.00647707	-0.00504777	0.0148088	0.0844767	-0.0573207
HG03730	2	0.0645309	-0.028332	0.0162235	-0.0136497	-0.0314181	-0.0201098	0.0168089	-0.0105408	0.0238412	-0.00500671
HG03731	2	0.014677	0.0110792	-0.019796	-0.0151442	0.0097545	-0.0173847	-0.00588056	0.0107408	0.0631313	-0.0427163
HG03733	2	0.0785782	-0.0153041	-0.0310839	-0.23364	0.0204875	0.567441	-0.0413385	-0.0379808	-0.067517	0.0203653
HG03736	2	0.0315776	0.00212518	-0.00550194	-0.0230328	0.00145398	-0.00708552	0.00157367	-0.00464632	0.0265276	0.0184729
HG03738	1	0.024801	0.0125	-0.0141453	-0.04026	0.000673249	-0.0183754	-0.00788968	0.0495615	0.0390301	0.034019
HG03740	1	0.0437605	-0.0135622	-0.00390925	-0.0288075	-0.0167053	-0.018616	-0.00315085	0.0116835	0.030437	-0.0323958
HG03741	2	0.042138	-0.00606224	-0.00757246	-0.0276632	-0.0112541	-0.0232911	-0.00271094	-0.00524448	0.0427416	-0.0163966
HG03742	1	0.0357888	-0.00353349	-0.0169417	-0.000158715	-0.00679359	-0.00780627	-0.000695737	-0.00433391	0.0263675	0.00344609
HG03743	1	0.0755022	-0.0323172	0.0146454	-0.0276695	-0.0268444	-0.0193821	0.0159423	-0.00259038	0.0199762	0.0126201
HG03744	1	0.0372613	-0.00548682	-0.00421054	-0.0239761	-0.00331597	-0.00991295	-0.00969952	-0.00204031	0.0271368	0.00631548
HG03745	1	0.027724	-0.000226545	-0.0153098	-0.0303402	-0.00113001	-0.0108731	-0.00702718	0.00750048	0.0349444	0.00540556
HG03746	1	-0.0208281	0.0325588	-0.0280101	-0.00894787	0.0147174	-0.0063578	-1.8633e-06	-0.0033569	0.0147123	-0.0321018
HG03750	1	0.0419269	0.0142714	-0.0270069	-0.10017	-0.00620378	-0.0495919	-0.0250275	0.604573	-0.323502	0.00613873
HG03752	2	0.0219754	0.00143688	-0.0154453	-0.0457677	0.000975065	-0.00781746	-0.0204754	0.0343133	0.0486627	0.046998
HG03753	1	0.0297068	0.00399654	-0.00626598	-0.0350117	-0.010334	-0.00844201	-0.00105051	0.0143018	0.0383177	-0.00241769
HG03754	2	0.0404569	0.0151109	-0.0316712	-0.0954154	-0.00478742	-0.0493652	-0.0192483	0.59897	-0.318641	0.00442751
HG03755	1	0.0312039	0.00590483	-0.00956187	-0.0207447	-0.00718524	-0.0146075	0.00736167	0.0212081	0.0335363	-0.0150403
HG03756	2	0.0275507	0.00370931	-0.0130654	-0.0239584	0.0212286	-0.0145664	-0.0071007	0.0274582	0.0495442	0.0105222
HG03757	2	0.0639674	-0.0190044	0.00984335	-0.0235792	-0.0176331	-0.0157387	0.00852087	-0.00843064	0.0195583	0.00780151
HG03760	2	0.0308249	-0.00216914	-0.0084174	-0.0293855	-0.00474224	-0.0144757	-0.0132583	0.0198117	0.0315279	-0.00519308
HG03762	2	0.0198154	0.0135336	0.00628546	-0.00710414	0.00766916	-0.00863888	0.00689983	-0.00450106	0.0190027	-0.00967076
HG03765	2	-0.0504323	0.0472959	-0.0191713	0.000196442	0.0250539	0.00757187	0.00566934	-0.00956662	-0.00811281	-0.0225891
HG03767	1	-0.0864941	0.0876364	-0.0381154	0.00825475	0.0678359	0.00769656	-0.00843117	0.00408894	0.00941527	0.000687619
HG03770	2	0.0447349	-0.0147333	0.000114209	-0.0205001	-0.00872476	-0.0140917	0.0189341	-0.00708314	0.00987089	-0.0279258
HG03771	1	0.0427904	-0.0106517	-0.000616269	-0.00538253	-0.011164	-0.00524833	0.0185692	-0.00665836	0.0105455	-0.0191515
HG03772	2	0.0650572	-0.0817663	-0.131309	0.163765	0.0394752	0.0438818	-0.0230679	0.0156957	-0.01589	-0.00554958
HG03773	1	0.0598025	-0.0823104	-0.132329	0.17581	0.0395694	0.0486798	-0.0325395	0.00919179	-0.0151928	0.00118001
