IID	Sex	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10
HG03826	2	-0.0113806	0.00143457	-0.0318982	0.0132594	0.00106187	-0.001158	-0.00129655	-0.000502322	0.00520933	-0.00417076
HG03829	2	-0.0116557	0.000685331	-0.0318762	0.0126739	-0.00395488	-0.00101432	-0.000174644	-0.000198112	0.0114695	-0.000133412
HG03830	1	-0.0116237	0.000371752	-0.0311384	0.0126287	0.0019596	0.00178842	-0.00293319	-0.00143368	0.0059313	-0.00141087
HG03832	2	-0.0111773	0.000931073	-0.0327829	0.0142666	0.00200281	0.000258121	-0.00385338	-0.000648881	0.0110676	0.00216548
HG03833	1	-0.0114655	0.00113531	-0.0310824	0.0135176	-0.00208295	-0.000912938	-0.00275222	-0.00205931	0.00496763	-0.00077866
HG03836	2	-0.0108642	0.0052386	-0.0376607	0.0165759	-0.000367284	0.000887838	0.00348931	-0.000411854	0.0285406	0.000589805
HG03837	1	-0.0107473	0.00510157	-0.0389234	0.0178495	0.0006321	-0.000333516	0.0050066	0.00109213	0.0281431	0.000464698
HG03838	2	-0.0109066	0.00351115	-0.0385585	0.0166223	-0.000870858	-0.000301594	0.000594022	-0.000676326	0.0272682	-0.00347184
HG03844	1	-0.0107583	0.00411268	-0.0373062	0.0164428	0.000864145	-0.000693181	0.00181562	-0.000426435	0.0295123	-0.00195203
HG03846	1	-0.0107896	0.00380156	-0.040483	0.0177099	0.000626809	-0.00064348	0.00227127	0.00169323	0.0352951	-0.00303186
HG03848	1	-0.0108942	0.00440545	-0.0387678	0.0185266	-0.00198365	4.26274e-06	0.00315779	0.000814457	0.0244194	0.00178551
HG03849	2	-0.0108405	0.00428147	-0.0392858	0.0182326	0.000961387	-0.000433041	0.00157461	0.0020158	0.025557	9.4645e-05
HG03850	1	-0.010806	0.00470937	-0.0384025	0.0167257	-0.00230863	-2.48317e-05	0.00378726	0.00212326	0.0338988	-0.00329455
HG03851	1	-0.0108073	0.00508582	-0.0384512	0.0169501	0.00149225	-0.000213724	0.00395511	0.000152858	0.0254413	0.00119503
HG03854	1	-0.0108471	0.00513698	-0.0374833	0.0177103	0.000727794	0.000590893	0.00186173	0.00216523	0.0361958	-0.00252229
HG03856	1	-0.0111865	5.65677e-05	-0.0435542	0.0212066	0.0017208	-0.00242576	-0.0032804	-0.000722891	0.0354062	-0.00330506
HG03857	2	-0.0110488	0.00441455	-0.0382094	0.0166815	0.00265543	-0.00145951	-0.00127906	0.000390689	0.020266	0.00191784
HG03858	2	-0.0106608	0.00300532	-0.0389918	0.0172997	0.00119791	-0.00247076	0.00427782	0.00199442	0.0331865	-0.0013288
HG03861	2	-0.0109771	0.00432949	-0.0428698	0.0221741	-0.00231629	-0.00153071	0.00151417	0.000963951	0.0193954	-0.00230127
HG03862	2	-0.0107292	0.00635111	-0.0369291	0.0166246	-1.95355e-05	0.00139164	0.00491155	0.00183139	0.0177264	-0.00193614
HG03863	2	-0.010846	0.00591115	-0.0376653	0.0161052	0.00101473	-0.000484006	0.00426494	0.000640773	0.0178631	0.000618234
HG03864	1	-0.0109402	0.00595723	-0.0376776	0.0171463	0.00230843	-0.000887546	0.00342666	0.000585864	0.0217915	0.00120283
HG03866	1	-0.0107434	0.00517303	-0.039176	0.0172973	0.00103919	-0.000710381	0.00418223	0.000143313	0.0408686	-0.00114881
HG03867	1	-0.0109801	0.00212136	-0.0407299	0.0192778	-0.000284505	-0.000622363	-0.0004056	-0.000911701	0.0342226	-0.00177368
HG03868	2	-0.0109967	0.00642206	-0.0369317	0.0165867	-0.00275564	-0.000128098	0.00519462	0.00156571	0.0163949	-0.00136422
HG03869	1	-0.0106235	0.00580661	-0.037562	0.0166253	0.00124952	0.000811924	0.00445787	0.00169383	0.0210696	-0.00134654
HG03870	1	-0.010804	0.0061498	-0.0377643	0.0184277	-0.00323901	0.00121337	0.00552559	-0.000387567	0.0172032	-0.00131454
HG03871	1	-0.0109337	0.00570554	-0.0383193	0.0172099	0.000807443	-0.000156107	0.00338915	0.00101028	0.0235501	0.00427218
HG03872	1	-0.0108109	0.00575504	-0.0376962	0.0180821	-0.000280223	0.000113222	0.0021154	0.00225293	0.0130636	-0.00261549
HG03873	2	-0.0108254	0.0048997	-0.0406644	0.0187471	0.00214454	-0.00062844	0.000107984	-0.00164906	0.0553123	-0.00149296
HG03874	2	-0.0108901	0.0045435	-0.0364092	0.015123	0.00365986	-0.000645296	0.00202141	6.35581e-05	0.0178042	-0.00149354
HG03875	1	-0.0109877	0.00879824	-0.0311088	0.0124362	0.000337446	0.000960251	-0.000911101	0.000953085	0.0127016	-0.000945701
HG03882	2	-0.0106298	0.00643303	-0.037377	0.017606	0.00120305	-0.000542585	0.00363871	0.00104421	0.0233887	-0.00398852
HG03884	2	-0.0108205	0.00460854	-0.0390128	0.0174405	0.00191959	-0.00128614	0.00176732	0.00147582	0.0270939	-0.000620648
HG03885	1	-0.010703	0.00502265	-0.0378613	0.0172908	-0.0015452	-0.000375861	-0.00247248	-0.000699547	0.0277645	-0.00122317
HG03886	2	-0.0107652	0.00524347	-0.0398089	0.0178067	0.000474146	0.00108094	0.00506948	0.00119425	0.0330587	0.000845715
HG03887	1	-0.010896	0.00467278	-0.0393138	0.0172663	0.000839315	-0.000697706	0.00249075	-0.00158582	0.022394	-0.00437211
HG03888	2	-0.011003	0.00842968	-0.0310755	0.0131863	-0.000179169	-0.00102058	-0.00248409	0.000980335	0.00558576	-0.00114706
HG03890	1	-0.0106465	0.00435325	-0.0385375	0.0171789	-0.00130703	0.00104707	0.00389587	0.00141109	0.0203193	-0.0026197
HG03894	2	-0.0107635	0.00440249	-0.0393921	0.0185047	0.000593067	0.00161012	0.00105871	0.000843623	0.0311439	-0.000267023
HG03895	2	-0.0107277	0.00532199	-0.0379029	0.0181857	0.00279568	3.95365e-05	0.00433641	0.00191853	0.0308362	-0.00838763
HG03896	1	-0.0108032	0.0039819	-0.0401878	0.0191326	-0.00159951	0.002042	0.00143798	0.000758174	0.0370027	-0.000146602
HG03897	2	-0.010853	0.00572829	-0.0376792	0.0166385	-0.00340931	-0.000422954	0.000418503	0.00275725	0.0259637	-0.000263025
HG03898	2	-0.0106806	0.00468134	-0.0398179	0.0185308	0.00124459	0.000419056	0.00229165	0.000225243	0.0381335	0.00128583
HG03899	1	-0.0110405	0.00445427	-0.0394321	0.0184104	0.00246864	-0.00227344	-0.000549694	0.00192054	0.0594906	0.000254436
HG03900	1	-0.0108003	0.00524189	-0.0379524	0.0167271	0.00206103	0.000270548	0.0040367	0.0011949	0.0269882	0.000182003
HG03902	1	-0.0112379	0.00239607	-0.0314241	0.0144077	-0.00195746	0.000778566	-0.00445341	0.000466285	0.00574469	0.000553736
HG03905	1	-0.0117176	0.00107621	-0.032088	0.0143661	-0.00318897	-0.000494637	-0.00106946	0.00117616	0.00991195	0.00318218
HG03907	2	-0.0112789	0.00121072	-0.0329802	0.0138088	-0.000735002	-0.000718846	-0.00432431	0.000565057	0.00663439	0.0015646
HG03908	1	-0.0112454	0.00201241	-0.033283	0.0145979	-0.00154321	0.000345317	-0.0024995	-0.00142061	0.00835571	-0.000338058
HG03910	2	-0.0116626	0.000963728	-0.0311307	0.0126974	-0.00192767	0.000269335	-0.00396539	0.000247939	0.00579592	0.0014311
HG03911	1	-0.0113592	0.00272644	-0.0331773	0.0144994	0.00099666	-0.000544384	-0.00306546	-0.000226489	0.0111268	-0.00269809
HG03913	2	-0.0116412	0.0015771	-0.0330546	0.0134891	-0.00153502	-0.000636792	-0.00253867	-0.000912241	0.0126354	0.00209063
HG03914	1	-0.0114414	0.00143699	-0.0329659	0.013822	-0.00241016	-0.000184192	-0.00546583	-0.0013304	0.0126131	0.000843192
HG03916	2	-0.0115307	0.000585786	-0.0323939	0.0132507	-0.00278517	0.000956893	-0.00332959	0.000611193	0.0121384	-0.00649222
