IID	Sex	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10
NA19095	2	0.0177037	0.0277183	0.0325082	-0.00950421	0.00673211	-0.000234919	0.000615929	0.00351863	0.000223937	-0.00419827
NA19096	1	0.0210317	0.0215531	0.0319039	-0.00944264	-0.0096109	0.00477796	-0.000969986	0.00167843	-0.00545651	-0.00325423
NA19098	1	0.0176116	0.0211378	0.0315078	0.00128767	-0.00320266	0.00530867	0.0037142	-0.00160704	-0.00469818	0.00706461
NA19099	2	0.0214813	0.0232786	0.0305361	-0.0012334	-0.0044598	0.0117256	-0.00134737	-0.00569765	0.0119248	-0.00668977
NA19102	2	0.0182952	0.0215657	0.0297068	-0.00819715	-0.0027419	0.00754623	-0.000972647	-0.00238414	0.0146972	-0.00432754
NA19107	1	0.0166811	0.0274807	0.0373552	-0.0175641	-0.00489724	-0.0028855	0.00136271	-0.00164997	0.0017697	0.0116536
NA19108	2	0.0177779	0.0237936	0.0285974	-0.00880065	-0.00239634	-2.71032e-05	0.00392839	-0.0056792	-0.00342144	-0.00956307
NA19113	1	0.0176793	0.0244433	0.0338495	-0.0170574	-0.00247364	0.0112315	-0.00463739	-0.000868538	-0.00527667	-0.00807106
NA19114	2	0.0165826	0.0207189	0.0317224	-0.00790861	0.000646417	-0.00199836	0.00117182	0.0105977	0.00220357	0.00301177
NA19116	2	0.0178423	0.0279702	0.0362673	-0.0139098	-0.00243108	-0.000165124	-0.00547198	0.00315708	0.00458278	0.00506618
NA19117	1	0.0202515	0.0241754	0.029224	-0.011782	0.00236062	0.00431434	-0.00964099	-0.00010183	-0.000810169	-0.00890227
NA19118	2	0.00867568	0.0146938	0.0238072	-0.0185982	0.00485044	-0.00640019	0.000245926	0.00424334	0.00063784	-0.00286772
NA19119	1	0.0197599	0.0282143	0.0350346	-0.0134081	0.0044647	0.00878388	0.00806936	-0.0113354	-0.00306457	-0.00383105
NA19121	1	0.0179131	0.0227112	0.0330862	-0.00911296	0.00421089	0.00353624	-0.0168753	-0.00214554	0.000789064	0.00377864
